date,mission,description
31-Dec-12,MONUSCO,"  International stakeholders gathered in ADDIS ABABA late last week for a consultative meeting on the proposed NIF and expanded JVM agreed to convene again in the Ethiopian capital on 08 January at the ministerial level to further consider the options tabled so far and make a concrete decision on the way forward. In related news, media cited an M23 spokesperson on Friday denying reports of an attack against MONUSCO helicopters last week. The day before, Mayi-Mayi cadres reportedly took control of the Nzulo IDP camp in GOMA after a firefight with PNC personnel. That same day, militia leaders (including APCLS and FAC affiliates) held a meeting in NYABIONDO to discuss the possibility of integrating all armed groups in Masisi territory to fight the M23. In Orientale province, there are reports of massive population displacement towards South Sudan following recent harassment by unidentified armed individuals in AGOROBA and NYAI. Far to the west, there is word of mounting tensions following contested gubernatorial elections in Bas-Congo in October; supporters of the (opposition) victor have threatened to take “all necessary measures” should the Supreme Court fail to confirm election results. Separately, the Mission reports that Congolese authorities prevented opposition DC party leader Diomi Ndongala from leaving the DRC this past Friday, citing an ongoing criminal investigation on alleged sexual abuse. Meanwhile, at least 5,000 CAR refugees arrived in Equateur province over the weekend.  "
31-Dec-12,Central Africa,"  Media cited CAR President Bozizé yesterday saying that he is willing to form a national unity government with the rebel Séléka alliance and would not seek re-election in 2016; he also announced his intent to participate in upcoming talks in LIBREVILLE (Gabon). Media reports quote rebel leaders today accusing the government of committing abuses against its supporters and renewing threats to enter BANGUI (where a night curfew is now in place), amidst fresh AU calls for an immediate cessation of hostilities. In light of the volatile security situation, all UN international staff have now been evacuated to YAOUNDÉ (Cameroon).   "
31-Dec-12,UNOCI,  Opposition FPI party interim leader Miaka Ouretto was cited over the weekend saying his party could possibly participate in the upcoming (24 February) local elections.     
31-Dec-12,Syria,"  Speaking in CAIRO yesterday following talks with Russian and Syrian senior officials over the past week, JSR Brahimi announced he had crafted a ceasefire plan based on the June 2012 Geneva declaration “that could be adopted by the international community”. Media on Friday referred to SNC leader al-Khatib’s rejection of a Russian foreign ministry invitation to discuss the crisis in MOSCOW, and the following day, Egypt’s President Morsi was cited reiterating that members of President al-Assad's administration had no place in Syria's future. Meanwhile, this past Friday reportedly saw two Syrian air force generals defect to Turkey.   "
31-Dec-12,UNDOF,  The Mission reports that sustained heavy fighting between SAAF troops and armed opposition elements near UN position 68 this past Friday forced peacekeepers in the position to briefly seek shelter. An UNDOF vehicle may possibly have been targeted in an IED explosion near AIN SHUKIYAB the following day. Firing into the AoS persisted over the weekend.  
31-Dec-12,UNMISS,"  Mission sources continue to report skirmishes between SPLA troops and suspected David Yau Yau-affiliated militia in the LIKUANGOLE area, most recently this past Saturday. UNMISS separately informs that SPLA and SSPNS personnel have been deployed to RUMBEK in response to inter-communal unrest late last week. In neighbouring Central Equatoria, the Mission has confirmed that 53 dwellings were set on fire during recent clashes between ethnic Dinka and Kakwa in YEI; SPLA troops may have been involved. Meanwhile, the governor of Northern Bahr El-Ghazal state visited KIIR ADEM yesterday following allegations of SAF air strikes last week; on Friday, members of the South Sudanese cabinet told media that “all necessary arrangements” have been put in place to fend off foreign incursions. SPLA sources have separately claimed that SAF troops abducted 17 civilians in the RENK area mid-last week.  "
31-Dec-12,UNAMID,"  Local media reported that two key SAF garrison towns (JUMEZA and JILDU) were seized by suspected SLA-AW elements on Saturday. The Mission is closely monitoring the situation in ROKORO after SAF troops repelled an attack by SLA-AW elements this past Friday. Separately, UNAMID informs that it has strengthened security measures at the KALMA IDP camp after Arab nomads threatened to attack the camp in search of stolen livestock. Meanwhile, Mission patrols continue to face movement restrictions at SAF checkpoints, most recently while en route to RIMELLA and DALMA over the weekend.   "
31-Dec-12,UNAMA,"  Local media yesterday reported that the minister of justice has handed a revised draft of the electoral law to the Wolesi Jirga for approval; reportedly, one major change brought to the draft is the suggestion that election complaints be investigated by the Supreme Court.   "
31-Dec-12,UNMOGIP,  Local media reported that authorities imposed a curfew in the PULWAMA (IAK) area on Friday following violent clashes between security forces and protestors; similar clashes were reported the following day. Other media reported that 20 Shia pilgrims were killed and another 25 were injured in a car bomb explosion in RAWALPINDI (Pakistan) yesterday.   
31-Dec-12,MINUSTAH,"  Last Thursday saw the president of the Senate express his support for the recently established temporary electoral council body, and announce plans to establish a bicameral commission mandated to select and nominate CEP members.   "
31-Dec-12,UNMIK,  The Mission reports that K-Serb political activists in northern Kosovo rallied again on Friday and yesterday against the implementation of integrated border management (IBM) arrangements.   
31-Dec-12,UNMIT,  Today marks the end of the Mission’s mandate. UNMIT reports that former Minister of Justice Lucia Lobato was released on Friday after submitting an extraordinary appeal contesting her conviction to five years imprisonment for corruption and abuse of power.  
31-Dec-12,Somalia," (UNSOA)  This past Saturday saw lawmakers approve the budget after the finance ministry agreed to increase expenditures in military and social services. That same day, PM Farah Shirdon was cited saying that the government has prepared 1,000 new troops to secure MOGADISHU and prevent illegal roadblocks.                "
